Altium Designer Pick and Place Locations
D:\项目\LED大灯项目\STM32F407ZGT6PCB Project（plan d）\STM32F407ZGT6PCB 20230313\Project Outputs for 华南师范控制板\Pick Place for MainMaster20230302.csv

========================================================================================================================
File Design Information:

Date:       21/04/23
Time:       20:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R13","0R R0603","TopLayer","R0603","82.2960","72.1360","180",""
"R8","0R R0603","TopLayer","R0603","18.7960","58.6817","90",""
"R7","0R R0603","TopLayer","R0603","42.7990","29.7180","90",""
"CN11","XH2.54-1*8P","TopLayer","XH2.54-1*8P-CONN-TH_8P-P2.50_HC-XH-8A-G","51.9628","4.1910","180","XH2.54-1*8P//直插//C5341207"
"U6","ESP32-C3-MINI-1-H4","TopLayer","WIFIM-SMD_ESP32-C3-MINI-1","108.8460","87.4649","270",""
"R1","10K R0603","TopLayer","R0603","44.1874","117.4750","0",""
"LED1","LED 0805","TopLayer","LED0805-RD_RED","36.7459","117.6020","360","LED 0805-NCD0805R1"
"CN10","B-3000S24P-0110","TopLayer","牛角座2*12P-CONN-TH_300S-24P","41.7830","104.1400","360","牛角座-2*12p 直插 C132440"
"U4","TLV1117LV33DCYR","TopLayer","1117LV-SOT-223_L6.7-W3.5-P2.30-BR","68.4530","94.1070","90","C15578 // SOT-223// TI"
"CN9","XH2.56-1*6P直插","TopLayer","H2.54-1*6P-直插CONN-TH_6P-P2.50_HC-XH-6A-G","114.3000","24.6536","90","XH2.56-1*6P直插"
"CN7","XH2.56-1*6P直插","TopLayer","H2.54-1*6P-直插CONN-TH_6P-P2.50_HC-XH-6A-G","29.6579","4.1910","180","XH2.56-1*6P直插"
"C42","22μF 0603","TopLayer","C0603","86.7410","59.5630","360","X7R/X5R，额定电压>=25,精度=10%"
"C29","22μF 0603","TopLayer","C0603","77.7240","91.5520","270","X7R/X5R，额定电压>=25,精度=10%"
"C28","1μF C0603","TopLayer","C0603","97.0280","67.8330","90","X7R/X5R，额定电压>=25,精度=10%"
"C27","1μF C0603","TopLayer","C0603","8.7629","112.0139","360","X7R/X5R，额定电压>=25,精度=10%"
"R50","0603WAF5113T5E","TopLayer","R0603","17.7801","92.7101","180",""
"C26","CC0603KRX7R9BB104","TopLayer","C0603","14.5900","97.9170","180",""
"U22","W25Q128JVSIQ","TopLayer","SOIC8","33.4010","23.2410","360",""
"R58","0603WAF5113T5E","TopLayer","R0603","25.4001","22.6061","180",""
"R57","0603WAF5113T5E","TopLayer","R0603","41.5291","23.8761","180",""
"R56","0603WAF5113T5E","TopLayer","R0603","25.3850","25.1460","360",""
"C25","1μF C0603","TopLayer","C0603","108.0920","18.4150","360","X7R/X5R，额定电压>=25,精度=10%"
"C24","1μF C0603","TopLayer","C0603","65.5470","99.6950","360","X7R/X5R，额定电压>=25,精度=10%"
"C23","CC0603KRX7R9BB104","TopLayer","C0603","41.5291","25.4001","180",""
"D28","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","47.8790","180","LXES1UTAA1-157,0402,MURATA"
"D27","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3096","51.1810","180","LXES1UTAA1-157,0402,MURATA"
"D26","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","54.4830","180","LXES1UTAA1-157,0402,MURATA"
"CN6","XH-5A","TopLayer","XH2.5-5P","113.5380","64.3490","270",""
"CN4","XH-5A","TopLayer","XH2.5-5P","6.3500","69.6129","90",""
"D3","SMBJ24CA","TopLayer","SMB","96.0120","105.0290","270",""
"U19","0603L035YR","TopLayer","F0603","13.3350","25.4000","180",""
"U17","TLV1117LV33DCYR","TopLayer","1117LV-SOT-223_L6.7-W3.5-P2.30-BR","90.6780","66.2940","360","C15578 // SOT-223// TI"
"U16","TLV1117LV33DCYR","TopLayer","1117LV-SOT-223_L6.7-W3.5-P2.30-BR","11.8110","106.6800","90","C15578 // SOT-223// TI"
"U15","TLV1117LV33DCYR","TopLayer","1117LV-SOT-223_L6.7-W3.5-P2.30-BR","105.2830","12.5730","360","C15578 // SOT-223// TI"
"U14","0603L035YR","TopLayer","F0603","105.2830","71.5010","360",""
"U13","0603L035YR","TopLayer","F0603","13.3350","59.4360","180",""
"U12","0603L035YR","TopLayer","F0603","105.3084","52.9590","360",""
"U11","0603L035YR","TopLayer","F0603","17.5260","96.2660","180",""
"U10","0603L035YR","TopLayer","F0603","17.5260","94.3610","180",""
"U9","TJA1050T/CM,118","TopLayer","SOP8_TJA1050","24.6380","95.3206","90",""
"U8","0603L035YR","TopLayer","F0603","15.2400","87.6300","180",""
"F15","TLC-NSMD100/24","TopLayer","F1206","96.0120","112.8395","270",""
"DC1","A3963WV-2P","TopLayer","CONN-TH_A3963WV-2P","103.7590","114.5540","360",""
"D25","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.4620","37.2110","180","LXES1UTAA1-157,0402,MURATA"
"D24","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.4620","33.9090","180","LXES1UTAA1-157,0402,MURATA"
"D21","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","30.6070","360","LXES1UTAA1-157,0402,MURATA"
"D19","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","44.4500","360","LXES1UTAA1-157,0402,MURATA"
"D18","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","41.1480","360","LXES1UTAA1-157,0402,MURATA"
"D17","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","37.8460","360","LXES1UTAA1-157,0402,MURATA"
"D16","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","34.5440","360","LXES1UTAA1-157,0402,MURATA"
"D15","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.1560","56.5150","360","LXES1UTAA1-157,0402,MURATA"
"D14","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","59.8170","360","LXES1UTAA1-157,0402,MURATA"
"D13","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","63.1190","360","LXES1UTAA1-157,0402,MURATA"
"D12","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","74.5490","180","LXES1UTAA1-157,0402,MURATA"
"D11","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","71.2470","180","LXES1UTAA1-157,0402,MURATA"
"D10","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","67.9450","180","LXES1UTAA1-157,0402,MURATA"
"D9","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","66.4210","180","LXES1UTAA1-157,0402,MURATA"
"D8","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","64.6089","360","LXES1UTAA1-157,0402,MURATA"
"CN8","XH-4A","TopLayer","XH2.5-4P","6.3500","30.1660","90",""
"CN5","XH-6A","TopLayer","XH2.5-6P","113.5380","45.3120","270",""
"CN3","XH-6A","TopLayer","XH2.5-6P","6.4770","49.5500","90",""
"CN2","XH-2A_C20079","TopLayer","XH2.5-2","6.5177","95.2500","90",""
"CN1","XH-2A_C20079","TopLayer","XH2.5-2","6.4770","84.5620","90",""
"C1","CC0603KRX7R9BB104","TopLayer","C0603","54.4829","86.2331","270",""
"R30","0603WAF5113T5E","TopLayer","R0603","105.2680","42.7990","180",""
"R28","0603WAF5113T5E","TopLayer","R0603","105.2831","64.7701","180",""
"R16","0603WAF5113T5E","TopLayer","R0603","17.7801","97.9171","180",""
"R14","0603WAF5113T5E","TopLayer","R0603","100.3301","103.2509","90",""
"R2","0603WAF5113T5E","TopLayer","R0603","74.0560","110.3630","180",""
"P2","KH-2.54FH-1X15P-H8.5","TopLayer","HDR2.54-M-LI-15P","97.9170","98.8060","180",""
"P1","KH-2.54FH-1X15P-H8.5","TopLayer","HDR2.54-M-LI-15P","97.9170","75.9460","180",""
"U2","STM32F407ZGT6","TopLayer","STM32F407ZET6_TQFP144","45.2120","56.8960","45","STM32F407ZET6"
"U5","SP3485EN-L/TR","TopLayer","SOP8_SP3485","21.5900","84.5256","90",""
"U3","XM8A51216","TopLayer","IS62WV51216BLL_TSOP44","45.0850","86.7410","90",""
"C2","CC0603KRX7R9BB104","TopLayer","C0603","36.4491","86.4869","90",""
"C53","CC0603KRX7R9BB104","TopLayer","C0603","75.4230","116.5860","360",""
"C3","VES101M1VTR-0607","TopLayer","CE_6.3*7.7","83.6930","112.5220","90",""
"C4","CC0603KRX7R9BB104","TopLayer","C0603","76.8351","108.8391","180",""
"C5","CC0603KRX7R9BB104","TopLayer","C0603","76.8500","107.3150","180",""
"C6","CC0603JRNPO9BN200","TopLayer","C0603","58.0391","45.5930","135",""
"C7","CC0603JRNPO9BN200","TopLayer","C0603","62.1816","49.9594","315",""
"C8","CC0603JRNPO9BN200","TopLayer","C0603","55.1664","35.3544","225",""
"C9","CC0603JRNPO9BN200","TopLayer","C0603","57.3556","37.5436","45",""
"C10","CL10A225KA8NNNC","TopLayer","C0603","30.4799","65.5320","315",""
"C11","CL10A225KA8NNNC","TopLayer","C0603","45.2119","74.9300","315",""
"C12","CC0603KRX7R9BB104","TopLayer","C0603","64.1345","84.7715","180",""
"C13","CC0603KRX7R9BB104","TopLayer","C1210","39.9957","35.9317","45",""
"C14","CC0603KRX7R9BB104","TopLayer","C0603","38.7834","38.2754","45",""
"C15","CC0603KRX7R9BB104","TopLayer","C0603","66.1671","53.9750","135",""
"C16","CC0603KRX7R9BB104","TopLayer","C0603","63.7541","51.5620","135",""
"C17","CC0603KRX7R9BB104","TopLayer","C1210","81.2800","104.9020","180",""
"C18","CC0603KRX7R9BB104","TopLayer","C0603","37.5920","39.3699","45",""
"C19","CC0603KRX7R9BB104","TopLayer","C0603","34.3686","43.0046","45",""
"C20","CC0603KRX7R9BB104","TopLayer","C0603","31.0666","46.8146","45",""
"C21","CC0603KRX7R9BB104","TopLayer","C0603","31.8769","67.0560","315",""
"C22","CC0603KRX7R9BB104","TopLayer","C0603","63.1190","63.8811","225",""
"C30","CC0603KRX7R9BB104","TopLayer","C0603","52.0699","111.1249","360",""
"C31","CC0603KRX7R9BB104","TopLayer","C1210","51.1810","117.4750","360",""
"C32","CC0603KRX7R9BB104","TopLayer","C1210","51.2550","113.7920","360",""
"C33","CC0603KRX7R9BB104","TopLayer","C0603","72.5022","116.5862","180",""
